cid,cid,cmpdname,predicted_proba,predicted_proba2,min_energy
122550752,122550752,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpiperidine-3-carboxamide",0.5759758001561281,0.5759758001561281,-16.031
121258905,121258905,"2-amino-N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N-methyl-3-(4-methylphenyl)propanamide",0.5246306415705323,0.5246306415705323,-15.914
139600263,139600263,Midostaurin-d5,0.5082371989475815,0.5082371989475815,-15.803
24202429,24202429,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
16760627,16760627,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
59476520,59476520,"N-[(3R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
146156652,146156652,Pkc412/cgp 41251,0.5082371989475815,0.5082371989475815,-15.798
91613430,91613430,"N-[(2S,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
134490683,134490683,"N-[(2S,3R,4R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
44120162,44120162,"N-[(2S,3R,4R,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
138756138,138756138,"N-[(2S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.798
59476509,59476509,"N-[(3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.797
59783146,59783146,"N-[(9S,10R,11R,13R)-2,3,10,11,12,13-Hexahydro-10-methoxy-9-methyl-1-oxo-9,13-epoxy-1H,9H-diindolo[1,2,3-gh:3',2', 1'-lm]pyrrolo[3,4-j][1,7]benzodiazonin-11-yl]-N-methyl-benzamide",0.5082371989475815,0.5082371989475815,-15.777
9829523,9829523,Midostaurin,0.5082371989475815,0.5082371989475815,-15.777
67599378,67599378,"N-[(2S,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.777
71018774,71018774,"N-[(2S,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzamide",0.5082371989475815,0.5082371989475815,-15.764
155381402,155381402,"(2S)-2-amino-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methyl-3-phenylmethoxypropanamide",0.5246306415705323,0.5246306415705323,-15.742
155381210,155381210,"4-[[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylcarbamoyl]benzoic acid",0.5082371989475815,0.5082371989475815,-15.721
44352842,44352842,"4-[[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-methylcarbamoyl]benzoic acid",0.5082371989475815,0.5082371989475815,-15.717
122550841,122550841,"1-[5-[[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]-3,3a,4,5,6,6a-hexahydro-2H-cyclopenta[b]pyrrol-1-yl]prop-2-en-1-one",0.586904761904762,0.586904761904762,-15.694
129289574,129289574,"10-methylidene-N-[5-(4-morpholin-4-ylpiperidin-1-yl)pyridin-2-yl]spiro[1,3,5,11-tetrazatricyclo[7.4.0.02,7]trideca-2,4,6,8-tetraene-13,1'-cyclohexane]-4-amine",0.5662900714252392,0.5662900714252392,-15.689
101644392,101644392,"benzyl N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",0.5082371989475815,0.5082371989475815,-15.677
134166209,134166209,"tert-butyl N-[4-[[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]carbamoyl]phenyl]carbamate",0.5171545667447307,0.5171545667447307,-15.665
122550750,122550750,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpiperidine-4-carboxamide",0.5650468384074943,0.5650468384074943,-15.664
10483728,10483728,"benzyl N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylcarbamate",0.5082371989475815,0.5082371989475815,-15.639
155381214,155381214,"(2S)-2-amino-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methyl-3-phenylpropanamide",0.5082371989475815,0.5082371989475815,-15.6
137392527,137392527,"(2S,3R,6R)-4-[(4-chlorophenyl)sulfanyl-methylamino]-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.6229912973082372,0.6229912973082372,-15.543
122550796,122550796,Cdk7-IN-25,0.5105971896955505,0.5105971896955505,-15.537
15625654,15625654,"N-(3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)acetamide",0.639344262295082,0.639344262295082,-15.537
134166198,134166198,"1-but-2-ynoyl-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]pyrrolidine-3-carboxamide",0.5869047619047619,0.5869047619047619,-15.534
122550733,122550733,"1-[3-[[[(16E)-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]amino]methyl]pyrrolidin-1-yl]but-2-yn-1-one",0.5083053701049787,0.5083053701049787,-15.512
122550747,122550747,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-4-(prop-2-enoylamino)cyclohexane-1-carboxamide",0.5705113192818111,0.5705113192818111,-15.512
58434736,58434736,"(2R,4R,5R,6S)-5,6-dimethyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5902044120623355,0.5902044120623355,-15.509
60020452,60020452,"(2S,3R,4S,6R)-3-methoxy-2-methyl-4-(3-methylbutan-2-yl)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5644432879405556,0.5644432879405556,-15.482
137466045,137466045,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-3-(prop-2-enoylamino)benzamide",0.5758587041373927,0.5758587041373927,-15.47
132571574,132571574,"N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylformamide",0.5410240841934831,0.5410240841934831,-15.468
122550717,122550717,"4-(but-2-ynoylamino)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]cyclohexane-1-carboxamide",0.575975800156128,0.575975800156128,-15.468
122550745,122550745,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-1-prop-2-enoylpyrrolidine-3-carboxamide",0.5650468384074943,0.5650468384074943,-15.463
86269222,86269222,"4-[[5-(4-Morpholin-4-ylpiperidin-1-yl)pyridin-2-yl]amino]spiro[1,3,5,11-tetrazatricyclo[7.4.0.02,7]trideca-2,4,6,8-tetraene-13,1'-cyclohexane]-10-one",0.6083388593215374,0.6083388593215374,-15.452
44353112,44353112,"(2R,3S,4S,6S)-3-methoxy-2-methyl-4-(N-methylanilino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.557417526816434,0.557417526816434,-15.448
155381211,155381211,"(2S,3R,4R,6R)-3-methoxy-2-methyl-4-(N-methylanilino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.557417526816434,0.557417526816434,-15.436
11757566,11757566,"2,2,2-trifluoro-N-[(2R,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",0.5081967213114754,0.5081967213114754,-15.434
44352817,44352817,"2,2,2-trifluoro-N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",0.5081967213114754,0.5081967213114754,-15.434
155381503,155381503,"2,2,2-trifluoro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",0.5081967213114754,0.5081967213114754,-15.434
101257296,101257296,"(2R,3R,4R,6S)-3-methoxy-2-methyl-4-[methyl(1-phenylethyl)amino]-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5082371989475815,0.5082371989475815,-15.426
10049525,10049525,3'-Demethylstaurosporine,0.5246306415705323,0.5246306415705323,-15.424
100975859,100975859,"(2S,3S,4S,6R)-3-hydroxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5246306415705323,0.5246306415705323,-15.424
5230524,5230524,O-Desmethyl staurosporin,0.5246306415705323,0.5246306415705323,-15.419
16048615,16048615,"(2R,3S,4S,6S)-3-hydroxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5246306415705323,0.5246306415705323,-15.419
46173770,46173770,"(5S,6R,7R)-6-Hydroxy-5-methyl-7-(methylamino)-6,7,8,9,15,16-hexahydro-5H,14H-5,9-epoxy-4b,9a,15-triazadibenzo[b,h]cyclonona[1,2,3,4-jkl]cyclopenta[e]-as-indacen-14-one",0.5246306415705323,0.5246306415705323,-15.419
44352951,44352951,"N-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",0.5082371989475815,0.5082371989475815,-15.384
145156732,145156732,"(19E)-17-methyl-13-nitroso-23-oxa-5,17,30-triazatetracyclo[22.3.1.12,6.111,15]triaconta-1(28),2(30),3,5,11(29),12,14,19,24,26-decaene",0.5105319072907392,0.5105319072907392,-15.382
155381207,155381207,"N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylbenzenecarbothioamide",0.5246306415705323,0.5246306415705323,-15.38
122550725,122550725,"1-[(E)-4-(dimethylamino)but-2-enoyl]-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]piperidine-4-carboxamide",0.5750195160031226,0.5750195160031226,-15.363
101644397,101644397,Acetylstaurosporine,0.5082371989475815,0.5082371989475815,-15.36
91348317,91348317,"(2R,3S,4S,6S)-3-methoxy-2,4-dimethyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5738109694393848,0.5738109694393848,-15.342
141860995,141860995,"(2R,3S,6S)-3-methoxy-2-methyl-4-(methyliminomethyl)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.557417526816434,0.557417526816434,-15.339
16739952,16739952,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]morpholine-4-carboxamide",0.5967408274785325,0.5967408274785325,-15.33
155381504,155381504,"2,2,2-trichloro-N-[(2S,3R,4R,6R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-N-methylacetamide",0.526816433920259,0.526816433920259,-15.327
73317459,73317459,"N-(14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl)morpholine-4-carboxamide",0.5967408274785325,0.5967408274785325,-15.321
134166138,134166138,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-3-[(prop-2-enoylamino)methyl]benzamide",0.5250390320062452,0.5250390320062452,-15.319
59050372,59050372,"(2S,3S,4S,6R)-3-methoxy-2,4-dimethyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5738109694393848,0.5738109694393848,-15.31
142221389,142221389,"(2S,3R,4R,6R)-3-methoxy-2,4-dimethyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5738109694393848,0.5738109694393848,-15.31
134166188,134166188,"2-(1-but-2-ynoylpiperidin-4-yl)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]acetamide",0.5803473848555817,0.5803473848555817,-15.302
10790444,10790444,"(2R,3S,4S,6S)-3,11-dihydroxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21,23,25,27-nonaen-16-one",0.5246306415705323,0.5246306415705323,-15.3
122550848,122550848,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-3-(prop-2-enoylamino)cyclopentane-1-carboxamide",0.5869047619047619,0.5869047619047619,-15.298
58434738,58434738,"(2S,3R,4R,6R)-2,3-dimethyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5902044120623355,0.5902044120623355,-15.294
58420787,58420787,"(2S,3S,4S,6R)-2,3-dimethyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5902044120623355,0.5902044120623355,-15.294
76781574,76781574,"2,3-Dimethyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5902044120623355,0.5902044120623355,-15.284
66636374,66636374,"(2R,3S,4S,6S)-2,3-dimethyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5902044120623355,0.5902044120623355,-15.284
100975860,100975860,"(2S,3S,4S,6R)-3,11-dihydroxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8(13),9,11,14,19,21,23,25,27-nonaen-16-one",0.5246306415705323,0.5246306415705323,-15.281
122550829,122550829,"N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]-2-(1-methyl-4-prop-2-enoylpiperazin-2-yl)acetamide",0.5240632318501173,0.5240632318501173,-15.281
122550715,122550715,"3-(but-2-ynoylamino)-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]cyclobutane-1-carboxamide",0.5923692427790789,0.5923692427790789,-15.247
102387507,102387507,N-carboxamido-staurosporine,0.5082371989475815,0.5082371989475815,-15.246
11526315,11526315,"1-[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-1-methylurea",0.5082371989475815,0.5082371989475815,-15.244
72994934,72994934,"1-(3-Methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl)-1-methylurea",0.5082371989475815,0.5082371989475815,-15.244
60090213,60090213,"[(2S,3R,4R)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-trimethylazanium",0.5738109694393848,0.5738109694393848,-15.22
44353115,44353115,"[(2R,3S,4S,6S)-3-methoxy-2-methyl-16-oxo-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-4-yl]-trimethylazanium",0.5738109694393848,0.5738109694393848,-15.22
146639360,146639360,"(2S,3R,4R,6R)-4-[[hydroxy(phenyl)methyl]-methylamino]-3-methoxy-2-methyl-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one",0.5246306415705323,0.5246306415705323,-15.214
134166210,134166210,"4-amino-N-[(16E)-14-methyl-20-oxa-5,7,14,27-tetrazatetracyclo[19.3.1.12,6.18,12]heptacosa-1(25),2(27),3,5,8,10,12(26),16,21,23-decaen-10-yl]benzamide",0.6185987509758002,0.6185987509758002,-15.2
